Age Group,dx,lx,Survivorship (lx/n0),qx,Lx,Tx,ex
0,1,215,1.0,0.0047,214.5,3149.5,14.65
1-5,6,214,0.9953,0.028,211.0,2935.0,13.71
6-10,1,208,0.9674,0.0048,207.5,2724.0,13.1
11-15,2,207,0.9628,0.0097,206.0,2516.5,12.16
16-20,1,205,0.9535,0.0049,204.5,2310.5,11.27
21-25,3,204,0.9488,0.0147,202.5,2106.0,10.32
26-30,4,201,0.9349,0.0199,199.0,1903.5,9.47
31-35,0,197,0.9163,0.0,197.0,1704.5,8.65
36-40,3,197,0.9163,0.0152,195.5,1507.5,7.65
41-45,7,194,0.9023,0.0361,190.5,1312.0,6.76
46-50,7,187,0.8698,0.0374,183.5,1121.5,6.0
51-55,13,180,0.8372,0.0722,173.5,938.0,5.21
56-60,13,167,0.7767,0.0778,160.5,764.5,4.58
61-65,16,154,0.7163,0.1039,146.0,604.0,3.92
66-70,17,138,0.6419,0.1232,129.5,458.0,3.32
71-75,23,121,0.5628,0.1901,109.5,328.5,2.71
76-80,19,98,0.4558,0.1939,88.5,219.0,2.23
81-85,29,79,0.3674,0.3671,64.5,130.5,1.65
86-90,20,50,0.2326,0.4,40.0,66.0,1.32
91-95,22,30,0.1395,0.7333,19.0,26.0,0.87
96-100,5,8,0.0372,0.625,5.5,7.0,0.88
101-105,3,3,0.014,1.0,1.5,1.5,0.5
106-110,0,0,0.0,,0.0,0.0,
