Age Group,dx,lx,Survivorship (lx/n0),qx,Lx,Tx,ex
0,14,215,1.0,0.0651,208.0,2781.5,12.94
1-5,1,201,0.9349,0.005,200.5,2573.5,12.8
6-10,2,200,0.9302,0.01,199.0,2373.0,11.86
11-15,1,198,0.9209,0.0051,197.5,2174.0,10.98
16-20,2,197,0.9163,0.0102,196.0,1976.5,10.03
21-25,3,195,0.907,0.0154,193.5,1780.5,9.13
26-30,2,192,0.893,0.0104,191.0,1587.0,8.27
31-35,3,190,0.8837,0.0158,188.5,1396.0,7.35
36-40,3,187,0.8698,0.016,185.5,1207.5,6.46
41-45,10,184,0.8558,0.0543,179.0,1022.0,5.55
46-50,4,174,0.8093,0.023,172.0,843.0,4.84
51-55,29,170,0.7907,0.1706,155.5,671.0,3.95
56-60,14,141,0.6558,0.0993,134.0,515.5,3.66
61-65,24,127,0.5907,0.189,115.0,381.5,3.0
66-70,18,103,0.4791,0.1748,94.0,266.5,2.59
71-75,25,85,0.3953,0.2941,72.5,172.5,2.03
76-80,19,60,0.2791,0.3167,50.5,100.0,1.67
81-85,19,41,0.1907,0.4634,31.5,49.5,1.21
86-90,15,22,0.1023,0.6818,14.5,18.0,0.82
91-95,7,7,0.0326,1.0,3.5,3.5,0.5
96-100,0,0,0.0,,0.0,0.0,
101-105,0,0,0.0,,0.0,0.0,
106-110,0,0,0.0,,0.0,0.0,
